hr,season,Predicted Y
7,1,2.5060923020599857
8,1,2.5051130553377137
9,1,2.5041338086154417
10,1,2.5031545618931696
11,1,2.5021753151708976
12,1,2.5011960684486256
13,1,2.5002168217263536
14,1,2.4992375750040816
15,1,2.4982583282818096
16,1,2.4972790815595376
17,1,2.4962998348372656
18,1,2.495320588114993
19,1,2.494341341392721
20,1,2.493362094670449
21,1,2.492382847948177
22,1,2.491403601225905
23,1,2.490424354503633
0,1,2.51294702911589
1,1,2.511967782393618
2,1,2.510988535671346
3,1,2.510009288949074
4,1,2.509030042226802
6,1,2.5070715487822577
7,1,2.5060923020599857
8,1,2.5051130553377137
9,1,2.5041338086154417
10,1,2.5031545618931696
11,1,2.5021753151708976
12,1,2.5011960684486256
13,1,2.5002168217263536
14,1,2.4992375750040816
15,1,2.4982583282818096
16,1,2.4972790815595376
17,1,2.4962998348372656
18,1,2.495320588114993
19,1,2.494341341392721
20,1,2.493362094670449
21,1,2.492382847948177
22,1,2.491403601225905
23,1,2.490424354503633
0,1,2.51294702911589
1,1,2.511967782393618
2,1,2.510988535671346
3,1,2.510009288949074
4,1,2.509030042226802
5,1,2.50805079550453
6,1,2.5070715487822577
7,1,2.5060923020599857
8,1,2.5051130553377137
9,1,2.5041338086154417
10,1,2.5031545618931696
11,1,2.5021753151708976
12,1,2.5011960684486256
13,1,2.5002168217263536
14,1,2.4992375750040816
15,1,2.4982583282818096
16,1,2.4972790815595376
17,1,2.4962998348372656
18,1,2.495320588114993
19,1,2.494341341392721
20,1,2.493362094670449
21,1,2.492382847948177
22,1,2.491403601225905
23,1,2.490424354503633
6,1,2.5070715487822577
7,1,2.5060923020599857
8,1,2.5051130553377137
9,1,2.5041338086154417
10,1,2.5031545618931696
11,1,2.5021753151708976
12,1,2.5011960684486256
13,1,2.5002168217263536
14,1,2.4992375750040816
15,1,2.4982583282818096
16,1,2.4972790815595376
17,1,2.4962998348372656
18,1,2.495320588114993
19,1,2.494341341392721
20,1,2.493362094670449
21,1,2.492382847948177
22,1,2.491403601225905
23,1,2.490424354503633
0,1,2.51294702911589
1,1,2.511967782393618
2,1,2.510988535671346
3,1,2.510009288949074
5,1,2.50805079550453
6,1,2.5070715487822577
7,1,2.5060923020599857
8,1,2.5051130553377137
9,1,2.5041338086154417
10,1,2.5031545618931696
11,1,2.5021753151708976
12,1,2.5011960684486256
13,1,2.5002168217263536
14,1,2.4992375750040816
15,1,2.4982583282818096
16,1,2.4972790815595376
17,1,2.4962998348372656
18,1,2.495320588114993
19,1,2.494341341392721
20,1,2.493362094670449
21,1,2.492382847948177
22,1,2.491403601225905
23,1,2.490424354503633
0,1,2.51294702911589
1,1,2.511967782393618
2,1,2.510988535671346
3,1,2.510009288949074
5,1,2.50805079550453
6,1,2.5070715487822577
7,1,2.5060923020599857
8,1,2.5051130553377137
9,1,2.5041338086154417
10,1,2.5031545618931696
11,1,2.5021753151708976
12,1,2.5011960684486256
13,1,2.5002168217263536
14,1,2.4992375750040816
15,1,2.4982583282818096
16,1,2.4972790815595376
17,1,2.4962998348372656
18,1,2.495320588114993
19,1,2.494341341392721
20,1,2.493362094670449
21,1,2.492382847948177
22,1,2.491403601225905
23,1,2.490424354503633
0,1,2.51294702911589
1,1,2.511967782393618
2,1,2.510988535671346
3,1,2.510009288949074
5,1,2.50805079550453
6,1,2.5070715487822577
7,1,2.5060923020599857
8,1,2.5051130553377137
9,1,2.5041338086154417
10,1,2.5031545618931696
11,1,2.5021753151708976
12,1,2.5011960684486256
13,1,2.5002168217263536
14,1,2.4992375750040816
15,1,2.4982583282818096
16,1,2.4972790815595376
17,1,2.4962998348372656
18,1,2.495320588114993
19,1,2.494341341392721
20,1,2.493362094670449
21,1,2.492382847948177
22,1,2.491403601225905
23,1,2.490424354503633
0,1,2.51294702911589
1,1,2.511967782393618
2,1,2.510988535671346
3,1,2.510009288949074
4,1,2.509030042226802
5,1,2.50805079550453
6,1,2.5070715487822577
7,1,2.5060923020599857
8,1,2.5051130553377137
9,1,2.5041338086154417
10,1,2.5031545618931696
11,1,2.5021753151708976
12,1,2.5011960684486256
13,1,2.5002168217263536
14,1,2.4992375750040816
15,1,2.4982583282818096
16,1,2.4972790815595376
17,1,2.4962998348372656
18,1,2.495320588114993
19,1,2.494341341392721
20,1,2.493362094670449
21,1,2.492382847948177
22,1,2.491403601225905
23,1,2.490424354503633
0,1,2.51294702911589
1,1,2.511967782393618
2,1,2.510988535671346
3,1,2.510009288949074
4,1,2.509030042226802
6,1,2.5070715487822577
7,1,2.5060923020599857
8,1,2.5051130553377137
9,1,2.5041338086154417
10,1,2.5031545618931696
11,1,2.5021753151708976
12,1,2.5011960684486256
13,1,2.5002168217263536
14,1,2.4992375750040816
15,1,2.4982583282818096
16,1,2.4972790815595376
17,1,2.4962998348372656
18,1,2.495320588114993
19,1,2.494341341392721
20,1,2.493362094670449
21,1,2.492382847948177
22,1,2.491403601225905
23,1,2.490424354503633
0,1,2.51294702911589
1,1,2.511967782393618
3,1,2.510009288949074
5,1,2.50805079550453
6,1,2.5070715487822577
7,1,2.5060923020599857
8,1,2.5051130553377137
9,1,2.5041338086154417
10,1,2.5031545618931696
11,1,2.5021753151708976
12,1,2.5011960684486256
13,1,2.5002168217263536
14,1,2.4992375750040816
15,1,2.4982583282818096
16,1,2.4972790815595376
17,1,2.4962998348372656
18,1,2.495320588114993
19,1,2.494341341392721
20,1,2.493362094670449
21,1,2.492382847948177
22,1,2.491403601225905
23,1,2.490424354503633
0,1,2.51294702911589
1,1,2.511967782393618
2,1,2.510988535671346
3,1,2.510009288949074
4,1,2.509030042226802
5,1,2.50805079550453
6,1,2.5070715487822577
7,1,2.5060923020599857
8,1,2.5051130553377137
9,1,2.5041338086154417
10,1,2.5031545618931696
11,1,2.5021753151708976
12,1,2.5011960684486256
13,1,2.5002168217263536
14,1,2.4992375750040816
15,1,2.4982583282818096
16,1,2.4972790815595376
17,1,2.4962998348372656
18,1,2.495320588114993
19,1,2.494341341392721
20,1,2.493362094670449
21,1,2.492382847948177
22,1,2.491403601225905
23,1,2.490424354503633
0,1,2.51294702911589
1,1,2.511967782393618
2,1,2.510988535671346
3,1,2.510009288949074
4,1,2.509030042226802
5,1,2.50805079550453
6,1,2.5070715487822577
7,1,2.5060923020599857
8,1,2.5051130553377137
9,1,2.5041338086154417
10,1,2.5031545618931696
11,1,2.5021753151708976
12,1,2.5011960684486256
13,1,2.5002168217263536
14,1,2.4992375750040816
15,1,2.4982583282818096
16,1,2.4972790815595376
17,1,2.4962998348372656
18,1,2.495320588114993
19,1,2.494341341392721
20,1,2.493362094670449
21,1,2.492382847948177
22,1,2.491403601225905
23,1,2.490424354503633
0,1,2.51294702911589
1,1,2.511967782393618
2,1,2.510988535671346
3,1,2.510009288949074
4,1,2.509030042226802
5,1,2.50805079550453
6,1,2.5070715487822577
7,1,2.5060923020599857
8,1,2.5051130553377137
9,1,2.5041338086154417
10,1,2.5031545618931696
11,1,2.5021753151708976
12,1,2.5011960684486256
13,1,2.5002168217263536
14,1,2.4992375750040816
15,1,2.4982583282818096
16,1,2.4972790815595376
17,1,2.4962998348372656
18,1,2.495320588114993
19,1,2.494341341392721
20,1,2.493362094670449
21,1,2.492382847948177
22,1,2.491403601225905
23,1,2.490424354503633
0,1,2.51294702911589
1,1,2.511967782393618
2,1,2.510988535671346
3,1,2.510009288949074
4,1,2.509030042226802
5,1,2.50805079550453
6,1,2.5070715487822577
7,1,2.5060923020599857
8,1,2.5051130553377137
9,1,2.5041338086154417
10,1,2.5031545618931696
11,1,2.5021753151708976
12,1,2.5011960684486256
13,1,2.5002168217263536
14,1,2.4992375750040816
15,1,2.4982583282818096
16,1,2.4972790815595376
17,1,2.4962998348372656
18,1,2.495320588114993
19,1,2.494341341392721
20,1,2.493362094670449
21,1,2.492382847948177
22,1,2.491403601225905
23,1,2.490424354503633
0,1,2.51294702911589
1,1,2.511967782393618
2,1,2.510988535671346
3,1,2.510009288949074
4,1,2.509030042226802
5,1,2.50805079550453
6,1,2.5070715487822577
7,1,2.5060923020599857
8,1,2.5051130553377137
9,1,2.5041338086154417
10,1,2.5031545618931696
11,1,2.5021753151708976
12,1,2.5011960684486256
13,1,2.5002168217263536
14,1,2.4992375750040816
15,1,2.4982583282818096
16,1,2.4972790815595376
17,1,2.4962998348372656
18,1,2.495320588114993
19,1,2.494341341392721
20,1,2.493362094670449
21,1,2.492382847948177
22,1,2.491403601225905
23,1,2.490424354503633
0,1,2.51294702911589
1,1,2.511967782393618
2,1,2.510988535671346
3,1,2.510009288949074
4,1,2.509030042226802
6,1,2.5070715487822577
7,1,2.5060923020599857
8,1,2.5051130553377137
9,1,2.5041338086154417
10,1,2.5031545618931696
11,1,2.5021753151708976
12,1,2.5011960684486256
13,1,2.5002168217263536
14,1,2.4992375750040816
15,1,2.4982583282818096
16,1,2.4972790815595376
17,1,2.4962998348372656
18,1,2.495320588114993
19,1,2.494341341392721
20,1,2.493362094670449
21,1,2.492382847948177
22,1,2.491403601225905
23,1,2.490424354503633
0,1,2.51294702911589
1,1,2.511967782393618
3,1,2.510009288949074
4,1,2.509030042226802
5,1,2.50805079550453
6,1,2.5070715487822577
7,1,2.5060923020599857
8,1,2.5051130553377137
9,1,2.5041338086154417
10,1,2.5031545618931696
11,1,2.5021753151708976
12,1,2.5011960684486256
13,1,2.5002168217263536
14,1,2.4992375750040816
15,1,2.4982583282818096
16,1,2.4972790815595376
17,1,2.4962998348372656
18,1,2.495320588114993
19,1,2.494341341392721
20,1,2.493362094670449
21,1,2.492382847948177
22,1,2.491403601225905
23,1,2.490424354503633
0,1,2.51294702911589
1,1,2.511967782393618
2,1,2.510988535671346
3,1,2.510009288949074
4,1,2.509030042226802
5,1,2.50805079550453
6,1,2.5070715487822577
7,1,2.5060923020599857
8,1,2.5051130553377137
9,1,2.5041338086154417
10,1,2.5031545618931696
11,1,2.5021753151708976
12,1,2.5011960684486256
13,1,2.5002168217263536
14,1,2.4992375750040816
15,1,2.4982583282818096
16,1,2.4972790815595376
17,1,2.4962998348372656
18,1,2.495320588114993
19,1,2.494341341392721
20,1,2.493362094670449
21,1,2.492382847948177
22,1,2.491403601225905
23,1,2.490424354503633
0,1,2.51294702911589
1,1,2.511967782393618
2,1,2.510988535671346
3,1,2.510009288949074
4,1,2.509030042226802
5,1,2.50805079550453
6,1,2.5070715487822577
7,1,2.5060923020599857
8,1,2.5051130553377137
9,1,2.5041338086154417
10,1,2.5031545618931696
11,1,2.5021753151708976
12,1,2.5011960684486256
13,1,2.5002168217263536
14,1,2.4992375750040816
15,1,2.4982583282818096
16,1,2.4972790815595376
17,1,2.4962998348372656
18,1,2.495320588114993
19,1,2.494341341392721
20,1,2.493362094670449
21,1,2.492382847948177
22,1,2.491403601225905
23,1,2.490424354503633
0,1,2.51294702911589
1,1,2.511967782393618
2,1,2.510988535671346
5,1,2.50805079550453
6,1,2.5070715487822577
7,1,2.5060923020599857
8,1,2.5051130553377137
9,1,2.5041338086154417
10,1,2.5031545618931696
11,1,2.5021753151708976
12,1,2.5011960684486256
13,1,2.5002168217263536
14,1,2.4992375750040816
15,1,2.4982583282818096
16,1,2.4972790815595376
17,1,2.4962998348372656
18,1,2.495320588114993
19,1,2.494341341392721
20,1,2.493362094670449
21,1,2.492382847948177
22,1,2.491403601225905
23,1,2.490424354503633
0,1,2.51294702911589
1,1,2.511967782393618
2,1,2.510988535671346
3,1,2.510009288949074
5,1,2.50805079550453
6,1,2.5070715487822577
7,1,2.5060923020599857
8,1,2.5051130553377137
9,1,2.5041338086154417
10,1,2.5031545618931696
11,1,2.5021753151708976
12,1,2.5011960684486256
13,1,2.5002168217263536
14,1,2.4992375750040816
15,1,2.4982583282818096
16,1,2.4972790815595376
17,1,2.4962998348372656
18,1,2.495320588114993
19,1,2.494341341392721
20,1,2.493362094670449
21,1,2.492382847948177
22,1,2.491403601225905
23,1,2.490424354503633
0,1,2.51294702911589
1,1,2.511967782393618
2,1,2.510988535671346
3,1,2.510009288949074
4,1,2.509030042226802
5,1,2.50805079550453
6,1,2.5070715487822577
7,1,2.5060923020599857
8,1,2.5051130553377137
9,1,2.5041338086154417
10,1,2.5031545618931696
11,1,2.5021753151708976
12,1,2.5011960684486256
13,1,2.5002168217263536
14,1,2.4992375750040816
15,1,2.4982583282818096
16,1,2.4972790815595376
17,1,2.4962998348372656
18,1,2.495320588114993
19,1,2.494341341392721
20,1,2.493362094670449
21,1,2.492382847948177
22,1,2.491403601225905
23,1,2.490424354503633
0,1,2.51294702911589
1,1,2.511967782393618
3,1,2.510009288949074
4,1,2.509030042226802
5,1,2.50805079550453
6,1,2.5070715487822577
7,1,2.5060923020599857
8,1,2.5051130553377137
9,1,2.5041338086154417
10,1,2.5031545618931696
11,1,2.5021753151708976
12,1,2.5011960684486256
13,1,2.5002168217263536
14,1,2.4992375750040816
15,1,2.4982583282818096
16,1,2.4972790815595376
17,1,2.4962998348372656
18,1,2.495320588114993
19,1,2.494341341392721
20,1,2.493362094670449
21,1,2.492382847948177
22,1,2.491403601225905
23,1,2.490424354503633
0,1,2.51294702911589
1,1,2.511967782393618
2,1,2.510988535671346
3,1,2.510009288949074
5,1,2.50805079550453
6,1,2.5070715487822577
7,1,2.5060923020599857
8,1,2.5051130553377137
9,1,2.5041338086154417
10,1,2.5031545618931696
11,1,2.5021753151708976
12,1,2.5011960684486256
13,1,2.5002168217263536
14,1,2.4992375750040816
15,1,2.4982583282818096
16,1,2.4972790815595376
17,1,2.4962998348372656
18,1,2.495320588114993
19,1,2.494341341392721
20,1,2.493362094670449
21,1,2.492382847948177
22,1,2.491403601225905
23,1,2.490424354503633
0,1,2.51294702911589
1,1,2.511967782393618
2,1,2.510988535671346
4,1,2.509030042226802
5,1,2.50805079550453
6,1,2.5070715487822577
7,1,2.5060923020599857
8,1,2.5051130553377137
9,1,2.5041338086154417
10,1,2.5031545618931696
11,1,2.5021753151708976
12,1,2.5011960684486256
13,1,2.5002168217263536
14,1,2.4992375750040816
15,1,2.4982583282818096
16,1,2.4972790815595376
17,1,2.4962998348372656
18,1,2.495320588114993
19,1,2.494341341392721
20,1,2.493362094670449
21,1,2.492382847948177
22,1,2.491403601225905
23,1,2.490424354503633
0,1,2.51294702911589
1,1,2.511967782393618
3,1,2.510009288949074
4,1,2.509030042226802
5,1,2.50805079550453
6,1,2.5070715487822577
7,1,2.5060923020599857
8,1,2.5051130553377137
9,1,2.5041338086154417
10,1,2.5031545618931696
11,1,2.5021753151708976
12,1,2.5011960684486256
13,1,2.5002168217263536
14,1,2.4992375750040816
15,1,2.4982583282818096
16,1,2.4972790815595376
17,1,2.4962998348372656
18,1,2.495320588114993
19,1,2.494341341392721
20,1,2.493362094670449
21,1,2.492382847948177
22,1,2.491403601225905
23,1,2.490424354503633
0,1,2.51294702911589
1,1,2.511967782393618
2,1,2.510988535671346
3,1,2.510009288949074
4,1,2.509030042226802
5,1,2.50805079550453
6,1,2.5070715487822577
7,1,2.5060923020599857
8,1,2.5051130553377137
9,1,2.5041338086154417
10,1,2.5031545618931696
11,1,2.5021753151708976
12,1,2.5011960684486256
13,1,2.5002168217263536
14,1,2.4992375750040816
15,1,2.4982583282818096
16,1,2.4972790815595376
17,1,2.4962998348372656
18,1,2.495320588114993
19,1,2.494341341392721
20,1,2.493362094670449
21,1,2.492382847948177
22,1,2.491403601225905
23,1,2.490424354503633
0,1,2.51294702911589
1,1,2.511967782393618
2,1,2.510988535671346
3,1,2.510009288949074
5,1,2.50805079550453
6,1,2.5070715487822577
7,1,2.5060923020599857
8,1,2.5051130553377137
9,1,2.5041338086154417
10,1,2.5031545618931696
11,1,2.5021753151708976
12,1,2.5011960684486256
13,1,2.5002168217263536
14,1,2.4992375750040816
15,1,2.4982583282818096
16,1,2.4972790815595376
17,1,2.4962998348372656
18,1,2.495320588114993
19,1,2.494341341392721
20,1,2.493362094670449
21,1,2.492382847948177
22,1,2.491403601225905
23,1,2.490424354503633
0,1,2.51294702911589
1,1,2.511967782393618
2,1,2.510988535671346
3,1,2.510009288949074
4,1,2.509030042226802
5,1,2.50805079550453
6,1,2.5070715487822577
7,1,2.5060923020599857
8,1,2.5051130553377137
9,1,2.5041338086154417
10,1,2.5031545618931696
11,1,2.5021753151708976
12,1,2.5011960684486256
13,1,2.5002168217263536
14,1,2.4992375750040816
15,1,2.4982583282818096
16,1,2.4972790815595376
17,1,2.4962998348372656
18,1,2.495320588114993
19,1,2.494341341392721
20,1,2.493362094670449
21,1,2.492382847948177
22,1,2.491403601225905
23,1,2.490424354503633
0,1,2.51294702911589
1,1,2.511967782393618
2,1,2.510988535671346
3,1,2.510009288949074
4,1,2.509030042226802
5,1,2.50805079550453
6,1,2.5070715487822577
7,1,2.5060923020599857
8,1,2.5051130553377137
9,1,2.5041338086154417
10,1,2.5031545618931696
11,1,2.5021753151708976
12,1,2.5011960684486256
13,1,2.5002168217263536
14,1,2.4992375750040816
15,1,2.4982583282818096
16,1,2.4972790815595376
17,1,2.4962998348372656
18,1,2.495320588114993
19,1,2.494341341392721
20,1,2.493362094670449
21,1,2.492382847948177
22,1,2.491403601225905
23,1,2.490424354503633
0,2,2.51294702911589
1,2,2.511967782393618
2,2,2.510988535671346
3,2,2.510009288949074
5,2,2.50805079550453
6,2,2.5070715487822577
7,2,2.5060923020599857
8,2,2.5051130553377137
9,2,2.5041338086154417
10,2,2.5031545618931696
11,2,2.5021753151708976
12,2,2.5011960684486256
13,2,2.5002168217263536
14,2,2.4992375750040816
15,2,2.4982583282818096
16,2,2.4972790815595376
17,2,2.4962998348372656
18,2,2.495320588114993
19,2,2.494341341392721
20,2,2.493362094670449
21,2,2.492382847948177
22,2,2.491403601225905
23,2,2.490424354503633
0,2,2.51294702911589
1,2,2.511967782393618
2,2,2.510988535671346
3,2,2.510009288949074
4,2,2.509030042226802
5,2,2.50805079550453
6,2,2.5070715487822577
7,2,2.5060923020599857
8,2,2.5051130553377137
9,2,2.5041338086154417
10,2,2.5031545618931696
11,2,2.5021753151708976
12,2,2.5011960684486256
13,2,2.5002168217263536
14,2,2.4992375750040816
15,2,2.4982583282818096
16,2,2.4972790815595376
17,2,2.4962998348372656
18,2,2.495320588114993
19,2,2.494341341392721
20,2,2.493362094670449
21,2,2.492382847948177
22,2,2.491403601225905
23,2,2.490424354503633
0,2,2.51294702911589
1,2,2.511967782393618
2,2,2.510988535671346
3,2,2.510009288949074
5,2,2.50805079550453
6,2,2.5070715487822577
7,2,2.5060923020599857
8,2,2.5051130553377137
9,2,2.5041338086154417
10,2,2.5031545618931696
11,2,2.5021753151708976
12,2,2.5011960684486256
13,2,2.5002168217263536
14,2,2.4992375750040816
15,2,2.4982583282818096
16,2,2.4972790815595376
17,2,2.4962998348372656
18,2,2.495320588114993
19,2,2.494341341392721
20,2,2.493362094670449
21,2,2.492382847948177
22,2,2.491403601225905
23,2,2.490424354503633
0,2,2.51294702911589
1,2,2.511967782393618
2,2,2.510988535671346
3,2,2.510009288949074
4,2,2.509030042226802
5,2,2.50805079550453
6,2,2.5070715487822577
7,2,2.5060923020599857
8,2,2.5051130553377137
9,2,2.5041338086154417
10,2,2.5031545618931696
11,2,2.5021753151708976
12,2,2.5011960684486256
13,2,2.5002168217263536
14,2,2.4992375750040816
15,2,2.4982583282818096
16,2,2.4972790815595376
17,2,2.4962998348372656
18,2,2.495320588114993
19,2,2.494341341392721
20,2,2.493362094670449
21,2,2.492382847948177
22,2,2.491403601225905
23,2,2.490424354503633
0,2,2.51294702911589
1,2,2.511967782393618
2,2,2.510988535671346
3,2,2.510009288949074
4,2,2.509030042226802
5,2,2.50805079550453
6,2,2.5070715487822577
7,2,2.5060923020599857
8,2,2.5051130553377137
9,2,2.5041338086154417
10,2,2.5031545618931696
11,2,2.5021753151708976
12,2,2.5011960684486256
13,2,2.5002168217263536
14,2,2.4992375750040816
15,2,2.4982583282818096
16,2,2.4972790815595376
17,2,2.4962998348372656
18,2,2.495320588114993
19,2,2.494341341392721
20,2,2.493362094670449
21,2,2.492382847948177
22,2,2.491403601225905
23,2,2.490424354503633
0,2,2.51294702911589
1,2,2.511967782393618
2,2,2.510988535671346
3,2,2.510009288949074
4,2,2.509030042226802
5,2,2.50805079550453
6,2,2.5070715487822577
7,2,2.5060923020599857
8,2,2.5051130553377137
9,2,2.5041338086154417
10,2,2.5031545618931696
11,2,2.5021753151708976
12,2,2.5011960684486256
13,2,2.5002168217263536
14,2,2.4992375750040816
15,2,2.4982583282818096
16,2,2.4972790815595376
17,2,2.4962998348372656
18,2,2.495320588114993
19,2,2.494341341392721
20,2,2.493362094670449
21,2,2.492382847948177
22,2,2.491403601225905
23,2,2.490424354503633
0,2,2.51294702911589
1,2,2.511967782393618
2,2,2.510988535671346
3,2,2.510009288949074
